order_id;product_name;fournisseur;order_date;quantity;unit_price;total_price
1;Laptop Gaming ROG;MouseMaster;01/01/2024;28;1455.35;40749.83
2;SSD 1TB NVMe;DisplayWorld;01/01/2024;22;152.93;3364.5
3;"Moniteur 27"" 4K";TechSolutions;01/01/2024;30;1400.98;42029.5
4;Clavier mecanique;DisplayWorld;01/01/2024;20;221.16;4423.18
5;Souris Gaming RGB;DisplayWorld;01/01/2024;18;1376.11;24770.01
6;Carte graphique RTX 3080;KeyboardPro;01/01/2024;26;821.33;21354.54
7;RAM 16GB DDR4;DataStore;01/01/2024;50;428.78;21439.11
8;Disque dur externe 2TB;DataStore;01/01/2024;39;1030.86;40203.56
9;Casque audio gaming;TechSolutions;01/01/2024;30;1216.85;36505.39
10;Imprimante laser couleur;MouseMaster;01/01/2024;14;483.52;6769.34
11;Webcam HD 1080p;KeyboardPro;01/01/2024;23;395.32;9092.3
12;Enceintes Bluetooth;DisplayWorld;01/01/2024;29;309.84;8985.36
13;Station d'accueil USB-C;MouseMaster;01/01/2024;36;1156.72;41642.06
14;Powerbank 20000mAh;TechSolutions;01/01/2024;17;1309.22;22256.67
15;Routeur Wi-Fi 6;DataStore;01/01/2024;23;374.43;8611.84
16;Switch Ethernet 24 ports;TechSolutions;01/01/2024;24;1747.0;41927.95
17;Microphone cardioide;MouseMaster;01/01/2024;32;308.8;9881.52
18;Disque SSD portable 1TB;DataStore;01/01/2024;42;1423.46;59785.35
19;Ventilateur CPU RGB;DisplayWorld;01/01/2024;34;225.62;7671.2
20;Boitier PC ATX;TechSolutions;01/01/2024;20;962.84;19256.74
21;Alimentation 750W;DisplayWorld;01/01/2024;15;252.52;3787.76
22;Kit de refroidissement liquide;DataStore;01/01/2024;36;1157.72;41678.05
23;Cle USB 128GB;DataStore;01/01/2024;38;436.91;16602.54
24;Hub USB 4 ports;KeyboardPro;01/01/2024;42;146.23;6141.63
25;Adaptateur HDMI 4K;KeyboardPro;01/01/2024;63;1847.1;116367.22
26;"Ecran tactile 15""";DisplayWorld;01/01/2024;18;2005.37;36096.62
27;Projecteur portable;MouseMaster;01/01/2024;32;157.64;5044.53
28;Tablette graphique;MouseMaster;01/01/2024;14;206.09;2885.22
29;"Disque dur interne 3.5""";MouseMaster;01/01/2024;48;1371.97;65854.53
30;Carte mere Z490;KeyboardPro;01/01/2024;34;477.46;16233.64
31;Barre de son 2.1;DataStore;01/01/2024;41;1234.14;50599.89
32;Camera de securite IP;DataStore;01/01/2024;46;75.49;3472.65
33;Disque SSD M.2 512GB;MouseMaster;01/01/2024;55;1022.29;56226.16
34;Support pour laptop;KeyboardPro;01/01/2024;44;1064.97;46858.67
35;Cable Ethernet CAT6;DataStore;01/01/2024;12;1582.13;18985.56
36;Disque dur NAS 8TB;KeyboardPro;01/01/2024;35;1872.65;65542.9
37;Clavier retroeclaire;MouseMaster;01/01/2024;32;181.23;5799.26
